"h5ad_code","seurat_level_index","label"
0,1,"aM2 cells"
1,2,"aM1 cells"
2,3,"PTEN+STAT3+ cells"
3,4,"NKX2-1+SOX9+CFTR+ cells"
4,5,"SCGB3A2+SFTPB+CFTR+ cells"
5,6,"SCGB3A2+FOXJ1+ cells"
6,7,"SOX2lowCFTR+ cells"
7,8,"Club cells"
8,9,"SOX2highCFTR+ cells"
9,10,"Lipofibroblasts"
10,11,"Lipofibroblast precursors"
11,12,"Uncommitted cells"
12,13,"Early fibroblasts"
13,14,"Airway fibroblast progenitors"
14,15,"Airway SMC"
15,16,"Cycling fibroblasts"
16,17,"Vascular SMC"
17,18,"Chondrocyte"
18,19,"Unknown stromal cells"
19,20,"Budtip progenitors"
20,21,"Stromal-like cells 1"
21,22,"Mature ciliated cells"
22,23,"Tip cells"
23,24,"Proliferating progenitors"
24,25,"Ciliated precursor cells"
25,26,"PNEC"
26,27,"Stromal-like cells 2"
27,28,"SMG basal cells"
28,29,"NRGN+ cells"
29,30,"SMG secretory cells"
30,31,"Basal cells"
31,32,"Erythrocyte-like EC-1"
32,33,"KIT+CA4+ endothelial cells"
33,34,"Erythrocyte-like EC-2"
34,35,"Intermediate lymphatic EC"
35,36,"Venous EC"
36,37,"Aerocyte"
37,38,"gCap"
38,39,"Arterial EC"
39,40,"Lymphatic EC"
40,41,"Cycling early capillaries"
41,42,"Common lymphoid progenitor (CLP)"
42,43,"Monocyte 1"
43,44,"aM-like cells"
44,45,"IL7R+ T cells"
45,46,"Proliferating macrophage/monocyte cells"
46,47,"B-cells"
47,48,"Macrophage"
48,49,"Monocyte/macrophage precursor cells"
49,50,"CD1C+ DC"
50,51,"Monocyte 2"
51,52,"Plasma cell"
52,53,"Cycling B cells"
53,54,"Cycling lymphoctyes"
54,55,"Immature DP leukocytes"
55,56,"FLT3+ preDC"
56,57,"pDC"
57,58,"Schwann"
