query_dataset_id	query_dataset_title	source_accession	source_accession_version_or_last_update	source_lab_or_group	source_publication_pmid_or_doi	local_query_set_id	local_query_sample_id	source_sample_id	source_sample_name	sample_role	sample_include_flag	exclude_reason	species	source_type	donor_id	donor_stage_label	donor_age_value	donor_age_unit	cell_line_id	clone_or_line_name	healthy_or_disease	disease_or_perturbation	culture_format	passage_or_timepoint	co_culture_context	sorting_or_enrichment	modality	raw_counts_available	processed_object_available	source_processed_object_type	source_processed_object_path_or_url	raw_data_path_or_url	download_date	downloaded_by	download_checksum	conversion_script	conversion_date	output_h5ad_path	output_metadata_path	cell_count_pre_qc	cell_count_post_qc	gene_count	feature_space_notes	reference_compatibility_tier	intended_analysis_role	query_ready_flag	qc_status	notes
external_gse237359	A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	GSE237359	2023-08-31	Emma Rawlins lab / University of Cambridge / Gurdon Institute	PMID:39815007; DOI:10.1038/s44318-024-00328-6; GEO cites preprint PMID:37693487	external_gse237359_bulk	GSM7610401_AT2_15934_P7	GSM7610401	AT2_1_E	provenance_only_bulk	false	bulk RNA-seq; current projection benchmark is cell-level scRNA only	Homo sapiens	human fetal lung-derived AT2 organoid	HDBR-L 15934	17 pcw	17	pcw	HDBR-L 15934	AT2_15934	healthy	none stated; cultured in AT2 medium	3D organoid	P7	none stated	none stated	bulk_RNA	false	true	series-level expression TSV (+ sample-level BIGWIG)	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE237359&file=GSE237359_AT2_merged.gene_counts_length_scaled.tsv.gz&format=file	SRA:SRX21022188											Bulk row registered for provenance only; sample-specific BIGWIG available on GSM page	exclude	marker_only_support	false	registered_modality_mismatch	Description AT2_15934_E; BioSample:SAMN36449121; BIGWIG:GSM7610401_AT2_1_E.forward.bigWig
external_gse237359	A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	GSE237359	2023-08-31	Emma Rawlins lab / University of Cambridge / Gurdon Institute	PMID:39815007; DOI:10.1038/s44318-024-00328-6; GEO cites preprint PMID:37693487	external_gse237359_bulk	GSM7610402_AT2_15934_P16	GSM7610402	AT2_1_L	provenance_only_bulk	false	bulk RNA-seq; current projection benchmark is cell-level scRNA only	Homo sapiens	human fetal lung-derived AT2 organoid	HDBR-L 15934	17 pcw	17	pcw	HDBR-L 15934	AT2_15934	healthy	none stated; cultured in AT2 medium	3D organoid	P16	none stated	none stated	bulk_RNA	false	true	series-level expression TSV (+ sample-level BIGWIG)	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE237359&file=GSE237359_AT2_merged.gene_counts_length_scaled.tsv.gz&format=file	SRA:SRX21022189											Bulk row registered for provenance only; sample-specific BIGWIG available on GSM page	exclude	marker_only_support	false	registered_modality_mismatch	Description AT2_15934_L; BioSample:SAMN36449120; BIGWIG:GSM7610402_AT2_1_L.forward.bigWig
external_gse237359	A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	GSE237359	2023-08-31	Emma Rawlins lab / University of Cambridge / Gurdon Institute	PMID:39815007; DOI:10.1038/s44318-024-00328-6; GEO cites preprint PMID:37693487	external_gse237359_bulk	GSM7610403_AT2_16011_P6	GSM7610403	AT2_2_E	provenance_only_bulk	false	bulk RNA-seq; current projection benchmark is cell-level scRNA only	Homo sapiens	human fetal lung-derived AT2 organoid	HDBR-L 16011	21 pcw	21	pcw	HDBR-L 16011	AT2_16011	healthy	none stated; cultured in AT2 medium	3D organoid	P6	none stated	none stated	bulk_RNA	false	true	series-level expression TSV (+ sample-level BIGWIG)	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE237359&file=GSE237359_AT2_merged.gene_counts_length_scaled.tsv.gz&format=file	SRA:SRX21022190											Bulk row registered for provenance only; sample-specific BIGWIG available on GSM page	exclude	marker_only_support	false	registered_modality_mismatch	Description AT2_16011_E; BioSample:SAMN36449119; BIGWIG:GSM7610403_AT2_2_E.forward.bigWig
external_gse237359	A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	GSE237359	2023-08-31	Emma Rawlins lab / University of Cambridge / Gurdon Institute	PMID:39815007; DOI:10.1038/s44318-024-00328-6; GEO cites preprint PMID:37693487	external_gse237359_bulk	GSM7610404_AT2_16011_P17	GSM7610404	AT2_2_L	provenance_only_bulk	false	bulk RNA-seq; current projection benchmark is cell-level scRNA only	Homo sapiens	human fetal lung-derived AT2 organoid	HDBR-L 16011	21 pcw	21	pcw	HDBR-L 16011	AT2_16011	healthy	none stated; cultured in AT2 medium	3D organoid	P17	none stated	none stated	bulk_RNA	false	true	series-level expression TSV (+ sample-level BIGWIG)	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE237359&file=GSE237359_AT2_merged.gene_counts_length_scaled.tsv.gz&format=file	SRA:SRX21022191											Bulk row registered for provenance only; sample-specific BIGWIG available on GSM page	exclude	marker_only_support	false	registered_modality_mismatch	Description AT2_16011_L; BioSample:SAMN36449118; BIGWIG:GSM7610404_AT2_2_L.forward.bigWig
external_gse237359	A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	GSE237359	2023-08-31	Emma Rawlins lab / University of Cambridge / Gurdon Institute	PMID:39815007; DOI:10.1038/s44318-024-00328-6; GEO cites preprint PMID:37693487	external_gse237359_bulk	GSM7610405_AT2_16392_P1	GSM7610405	AT2_3_E	provenance_only_bulk	false	bulk RNA-seq; current projection benchmark is cell-level scRNA only	Homo sapiens	human fetal lung-derived AT2 organoid	HDBR-L 16392	17 pcw	17	pcw	HDBR-L 16392	AT2_16392	healthy	none stated; cultured in AT2 medium	3D organoid	P1	none stated	none stated	bulk_RNA	false	true	series-level expression TSV (+ sample-level BIGWIG)	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE237359&file=GSE237359_AT2_merged.gene_counts_length_scaled.tsv.gz&format=file	SRA:SRX21022192											Bulk row registered for provenance only; sample-specific BIGWIG available on GSM page	exclude	marker_only_support	false	registered_modality_mismatch	Description AT2_16392_E; BioSample:SAMN36449117; BIGWIG:GSM7610405_AT2_3_E.forward.bigWig
external_gse237359	A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	GSE237359	2023-08-31	Emma Rawlins lab / University of Cambridge / Gurdon Institute	PMID:39815007; DOI:10.1038/s44318-024-00328-6; GEO cites preprint PMID:37693487	external_gse237359_bulk	GSM7610406_AT2_16392_P12	GSM7610406	AT2_3_L	provenance_only_bulk	false	bulk RNA-seq; current projection benchmark is cell-level scRNA only	Homo sapiens	human fetal lung-derived AT2 organoid	HDBR-L 16392	17 pcw	17	pcw	HDBR-L 16392	AT2_16392	healthy	none stated; cultured in AT2 medium	3D organoid	P12	none stated	none stated	bulk_RNA	false	true	series-level expression TSV (+ sample-level BIGWIG)	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE237359&file=GSE237359_AT2_merged.gene_counts_length_scaled.tsv.gz&format=file	SRA:SRX21022193											Bulk row registered for provenance only; sample-specific BIGWIG available on GSM page	exclude	marker_only_support	false	registered_modality_mismatch	Description AT2_16392_L; BioSample:SAMN36449116; BIGWIG:GSM7610406_AT2_3_L.forward.bigWig
external_gse237359	A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	GSE237359	2023-08-31	Emma Rawlins lab / University of Cambridge / Gurdon Institute	PMID:39815007; DOI:10.1038/s44318-024-00328-6; GEO cites preprint PMID:37693487	external_gse237359_bulk	GSM7610407_AT2_16402_P4	GSM7610407	AT2_4_E	provenance_only_bulk	false	bulk RNA-seq; current projection benchmark is cell-level scRNA only	Homo sapiens	human fetal lung-derived AT2 organoid	HDBR-L 16402	20 pcw	20	pcw	HDBR-L 16402	AT2_16402	healthy	none stated; cultured in AT2 medium	3D organoid	P4	none stated	none stated	bulk_RNA	false	true	series-level expression TSV (+ sample-level BIGWIG)	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE237359&file=GSE237359_AT2_merged.gene_counts_length_scaled.tsv.gz&format=file	SRA:SRX21022194											Bulk row registered for provenance only; sample-specific BIGWIG available on GSM page	exclude	marker_only_support	false	registered_modality_mismatch	Description AT2_16402_E; BioSample:SAMN36449115; BIGWIG:GSM7610407_AT2_4_E.forward.bigWig
external_gse237359	A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	GSE237359	2023-08-31	Emma Rawlins lab / University of Cambridge / Gurdon Institute	PMID:39815007; DOI:10.1038/s44318-024-00328-6; GEO cites preprint PMID:37693487	external_gse237359_bulk	GSM7610408_AT2_16402_P13	GSM7610408	AT2_4_L	provenance_only_bulk	false	bulk RNA-seq; current projection benchmark is cell-level scRNA only	Homo sapiens	human fetal lung-derived AT2 organoid	HDBR-L 16402	20 pcw	20	pcw	HDBR-L 16402	AT2_16402	healthy	none stated; cultured in AT2 medium	3D organoid	P13	none stated	none stated	bulk_RNA	false	true	series-level expression TSV (+ sample-level BIGWIG)	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE237359&file=GSE237359_AT2_merged.gene_counts_length_scaled.tsv.gz&format=file	SRA:SRX21022195											Bulk row registered for provenance only; sample-specific BIGWIG available on GSM page	exclude	marker_only_support	false	registered_modality_mismatch	Description AT2_16402_L; BioSample:SAMN36449114; BIGWIG:GSM7610408_AT2_4_L.forward.bigWig
external_gse237359	A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	GSE237359	2024-04-29	Emma Rawlins lab / University of Cambridge / Gurdon Institute	PMID:39815007; DOI:10.1038/s44318-024-00328-6; GEO cites preprint PMID:37693487	external_gse237359_scRNA	GSM8229877_pooled_fdAT2_scRNA	GSM8229877	AT2 organoid_scRNA	pooled_parent_registry	false		Homo sapiens	human fetal lung-derived AT2 organoid pooled 10x sample	pooled:HDBR-L 15934|HDBR-L 16011|HDBR-L 16392|HDBR-L 16402	17 pcw|21 pcw|17 pcw|20 pcw	17|21|17|20	pcw	AT2_pooled_15934_16011_16392_16402	AT2_pooled_15934_16011_16392_16402	healthy	none stated; cultured in AT2 medium	3D organoid	P16|P11|P15|P15 pooled (paper reports 4 lines at P11-P16)	none stated	pooled four donors for 10x; demultiplexed with souporcell using bulk RNA-seq inferred SNPs	scRNA	pending_local_validation	true	H5AD	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8229877&file=GSM8229877_240314KT_AT2_organoid_filtered.h5ad.gz&format=file	SRA:SRX24361837						queries/converted/gse237359/GSM8229877_240314KT_AT2_organoid_filtered.h5ad	queries/converted/gse237359/GSM8229877_240314KT_AT2_organoid_filtered.obs.tsv		9619		Paper reports 9619 cells from 4 organoid lines at P11-P16; local H5AD structure and raw layer not yet validated in this chat	nearest_external	nearest_external_validation	false	parent_registry_only	Main intake target. Pooled sample label on GSM page lists 15934,16011,16392,16402; donor-to-stage mapping follows the same order as bulk descriptions and is therefore an inference until local H5AD obs metadata are inspected. | Parent pooled row retained after donor split.
external_gse237359	A novel human fetal lung-derived alveolar organoid model reveals mechanisms of surfactant protein C maturation relevant to interstitial lung disease	GSE237359	2024-04-29	Emma Rawlins lab / University of Cambridge / Gurdon Institute	PMID:39815007; DOI:10.1038/s44318-024-00328-6; GEO cites preprint PMID:37693487	external_gse237359_scRNA_donor_split	GSM8229877_AT2_15934_scRNA	GSM8229877	AT2 organoid_scRNA	candidate_external_scRNA_donor_split	true		Homo sapiens	human fetal lung-derived AT2 organoid donor-resolved from pooled 10x sample	HDBR-L 15934	17 pcw	17	pcw	HDBR-L 15934	AT2_15934	healthy	none stated; cultured in AT2 medium	3D organoid	P16	none stated	pooled four donors for 10x; donor-resolved from .obs[donor]; filtered with .obs[Souporcell4_status]	scRNA	true	true	H5AD (pooled object with donor-resolved obs metadata)	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM8229877&file=GSM8229877_240314KT_AT2_organoid_filtered.h5ad.gz&format=file	SRA:SRX24361837						queries/converted/gse237359/donor_split_h5ad/GSM8229877_AT2_15934_scRNA.h5ad	queries/converted/gse237359/GSM8229877_240314KT_AT2_organoid_filtered.obs.tsv		2170		Donor-resolved row derived from pooled GSM8229877 via donor column donor; raw_present=True; raw_n_vars=21868	nearest_external	nearest_external_validation	true	donor_split_exported	Main intake target. Pooled sample label on GSM page lists 15934,16011,16392,16402; donor-to-stage mapping follows the same order as bulk descriptions and is therefore an inference until local H5AD obs metadata are inspected. | donor_split_from_pooled=GSM8229877; donor_short=15934; donor_cells=2170; donor_col=donor; souporcell_col=Souporcell4_status
