tranche_id	tranche_role	lab	cell_line_or_source	platform	local_query_sample_id	source_accession	sample_axis	condition_or_passage_label	query_ready_flag	whole_lung_top_stage_coarse	whole_lung_top_stage_fine	whole_lung_top_state_coarse	whole_lung_top_state_fine	whole_lung_off_target_fraction	epithelial_eligible_fraction	epithelial_top_stage_coarse	epithelial_top_stage_fine	epithelial_top_state_fine	epithelial_lineage_off_target_fraction	epithelial_ambiguous_fraction	reviewer_interpretation_short	biology_axis_tag	ambiguity_note	provenance_note
anchor	proximal_anchor	NA	organoid (CA1)	10x (inferred)	CA1	GSE266789	NA	NA	true	mid_GW14_16	week_15	Epithelial	Basal cells	9.5	88.5	mid_GW14_16	week_15	Basal cells	11.5	11.4	mixed proximal airway-like epithelial population	proximal_anchor	NA	local organoid anchor query
anchor	proximal_anchor	NA	organoid (BU3)	10x (inferred)	BU3	GSE266789	NA	NA	true	mid_GW14_16	week_15	Epithelial	Basal cells	7.4	98.2	mid_GW14_16	week_15	Basal cells	1.8	10.9	more converged proximal airway-like epithelial population	proximal_anchor	NA	local organoid anchor query
GSE237359	donor_resolved_external_validation	Rawlins / Cambridge	fetal lung AT2 organoid (HDBR-L 15934)	10x Chromium	G237359_15934	GSE237359	donor	15934 (17 pcw, P16)	true	late_GW17_19	week_18	Epithelial	Tip cells	10.9	100.0	late_GW17_19	week_18	Tip cells	0.0	13.3	distal late-fetal Tip-like validation	donor_resolved_distal	NA	donor-resolved from pooled GSM8229877
GSE237359	donor_resolved_external_validation	Rawlins / Cambridge	fetal lung AT2 organoid (HDBR-L 16011)	10x Chromium	G237359_16011	GSE237359	donor	16011 (21 pcw, P11)	true	late_GW17_19	week_18	Epithelial	Tip cells	11.5	100.0	late_GW17_19	week_18	Tip cells	0.0	12.6	distal late-fetal Tip-like (supportive, low n)	donor_resolved_distal	low cell count (261)	donor-resolved from pooled GSM8229877
GSE237359	donor_resolved_external_validation	Rawlins / Cambridge	fetal lung AT2 organoid (HDBR-L 16392)	10x Chromium	G237359_16392	GSE237359	donor	16392 (17 pcw, P15)	true	late_GW17_19	week_18	Epithelial	Tip cells	9.5	100.0	late_GW17_19	week_18	Tip cells	0.0	13.6	distal late-fetal Tip-like validation	donor_resolved_distal	NA	donor-resolved from pooled GSM8229877
GSE237359	donor_resolved_external_validation	Rawlins / Cambridge	fetal lung AT2 organoid (HDBR-L 16402)	10x Chromium	G237359_16402	GSE237359	donor	16402 (20 pcw, P15)	true	late_GW17_19	week_18	Epithelial	Tip cells	11.8	100.0	late_GW17_19	week_18	Tip cells	0.0	17.1	distal late-fetal Tip-like validation	donor_resolved_distal	NA	donor-resolved from pooled GSM8229877
GSE221343	nearest_external_validation	Kotton / BU	iPSC iAT2 (SPC2-ST-B2)	10x Chromium	GSM6858854_CK_DCI	GSE221343	condition	CK+DCI (iAT2 control)	true	late_GW17_19	week_18	Epithelial	Stromal-like cells 1	4.7	95.3	late_GW17_19	NA	Stromal-like cells 1	4.7	29.9	iAT2 control baseline; strong epithelial identity	condition_perturbation	Stromal-like cells 1 is reference label mapping not actual stromal	single donor SPC2-ST-B2
GSE221343	nearest_external_validation	Kotton / BU	iPSC iAT2 (SPC2-ST-B2)	10x Chromium	GSM6858855_YAP5SA_CK_DCI	GSE221343	condition	YAP5SA + CK+DCI (perturbation)	true	late_GW17_19	week_18	Epithelial	Stromal-like cells 1	2.1	97.9	late_GW17_19	NA	Stromal-like cells 1	2.1	35.3	iAT2 + YAP5SA; similar to control baseline	condition_perturbation	Stromal-like cells 1 is reference label mapping not actual stromal	single donor SPC2-ST-B2
GSE221343	nearest_external_validation	Kotton / BU	iPSC iAT1 (SPC2-ST-B2)	10x Chromium	GSM6858856_L_DCI	GSE221343	condition	L+DCI (iAT1 differentiation)	true	late_GW17_19	week_18	Epithelial	SOX2lowCFTR+ cells	0.8	99.2	late_GW17_19	NA	SOX2lowCFTR+ cells	0.8	37.3	iAT1 differentiation; distinct SOX2lowCFTR+ state	condition_perturbation	NA	single donor SPC2-ST-B2
GSE289846	cross_lab_external_validation	Gotoh / CiRA Kyoto	iPSC alveolar epi (B2-3)	10x Chromium	GSE289846_3i_Day7	GSE289846	condition	3i Day7 (iAT2 baseline)	true	late_GW17_19	week_18	Epithelial	Proliferating progenitors	0.7	99.3	late_GW17_19	NA	Proliferating progenitors	0.7	34.9	iAT2 progenitor baseline on micro-patterned plate	differentiation_transitional	NA	condition-level merging 2 biological replicates
GSE289846	cross_lab_external_validation	Gotoh / CiRA Kyoto	iPSC alveolar epi (B2-3)	10x Chromium	GSE289846_3i_LATS_Day14	GSE289846	condition	LATS-IN-1 Day14 (AT1 induction)	true	late_GW17_19	week_18	Epithelial	SOX2lowCFTR+ cells	0.1	99.9	late_GW17_19	NA	SOX2lowCFTR+ cells	0.1	27.7	AT1 induction; SOX2lowCFTR+ state; cross-lab replication	differentiation_transitional	NA	condition-level merging 2 biological replicates
GSE289846	cross_lab_external_validation	Gotoh / CiRA Kyoto	iPSC alveolar epi (B2-3)	10x Chromium	GSE289846_3i_PAL_Day14	GSE289846	condition	PAL Day14 (transitional)	true	early_GW10_13	week_13	Epithelial	PNEC	0.1	99.9	early_GW10_13	NA	PNEC	0.1	17.8	transitional; PNEC state + earlier stage; most resolved in tranche	differentiation_transitional	NA	condition-level merging 2 biological replicates
GSE308817	passage_series_external_validation	Liu/Rong / Xiamen	hESC alveolar organoid (H9)	SeekOne	GSE308817_ALOp3	GSE308817	passage	P3 (early)	true	early_GW10_13	week_11	Epithelial	Budtip progenitors	2.1	97.9	early_GW10_13	NA	Budtip progenitors	2.1	49.9	early passage baseline; Budtip progenitor identity	passage_maturation	high ambiguity (49.9%) reflects early organoid heterogeneity	GSM-level; citation missing on GEO
GSE308817	passage_series_external_validation	Liu/Rong / Xiamen	hESC alveolar organoid (H9)	SeekOne	GSE308817_ALOp7	GSE308817	passage	P7 (middle)	true	early_GW10_13	NA	Epithelial	Budtip progenitors	0.1	99.9	early_GW10_13	NA	Budtip progenitors	0.1	30.3	optimal expansion state; best alignment in tranche	passage_maturation	NA	GSM-level; citation missing on GEO
GSE308817	passage_series_external_validation	Liu/Rong / Xiamen	hESC alveolar organoid (H9)	SeekOne	GSE308817_ALOp20	GSE308817	passage	P20 (late)	true	early_GW10_13	NA	Epithelial	Budtip progenitors	0.1	99.9	early_GW10_13	NA	Budtip progenitors	0.1	47.3	late passage drift; stage diversification toward week_19	passage_maturation	high ambiguity (47.3%); stage diversification	GSM-level; citation missing on GEO
GSE193716	nearest_external_validation	Kotton / BU	iPSC iAEC2 (SPC2-ST-B2, 3D feeder-free)	10x Chromium	GSM5819133_iAEC2_3D	GSE193716	culture_format	3D Matrigel (iAEC2 feeder-free)	true	late_GW17_19	week_18	Epithelial	Proliferating progenitors	38.1	99.1	late_GW17_19	NA	Proliferating progenitors	0.9	31.0	feeder-free iAEC2 baseline; Proliferating progenitors replicates GSE289846	culture_format_comparison	moderate ambiguity (31.0%); feeder-free 3D format baseline	same iPSC line as GSE221343; iAEC2 subset promotion D-0013
GSE193716	nearest_external_validation	Kotton / BU	iPSC iAEC2 (SPC2-ST-B2, 3D/insert)	10x Chromium	GSM5819134_iAEC2_3D_insert	GSE193716	culture_format	3D/insert (iAEC2 feeder-free)	true	late_GW17_19	week_18	Epithelial	Proliferating progenitors	12.0	98.5	late_GW17_19	NA	Proliferating progenitors	1.5	9.9	best alignment in comparison world (0.814); most resolved iAEC2	culture_format_comparison		same iPSC line as GSE221343; iAEC2 subset promotion D-0013
GSE193716	nearest_external_validation	Kotton / BU	iPSC iAEC2 (SPC2-ST-B2, +MRC5/insert)	10x Chromium	GSM5819135_iAEC2_MRC5_insert	GSE193716	culture_format	+MRC5/insert (iAEC2 co-culture)	true	late_GW17_19	week_18	Epithelial	Proliferating progenitors	15.6	97.9	late_GW17_19	NA	Proliferating progenitors	2.1	15.7	highest Prolif. progenitors fraction; +MRC5 effect minimal on iAEC2	culture_format_comparison		same iPSC line as GSE221343; +MRC5 co-culture; iAEC2 subset promotion D-0013
GSE221344	nearest_external_validation	Kotton / BU	iPSC iAT2 (SPC2-ST-B2, WT YAP lentiviral control)	10x Chromium	GSM6858857_WT_YAP	GSE221344	perturbation	WT YAP lentiviral control (CK+DCI 7d)	true	late_GW17_19	week_18	Epithelial	Proliferating progenitors	16.6	98.2	late_GW17_19	week_18	Proliferating progenitors	1.8	11.2	paired lentiviral control for YAP5SA; Proliferating progenitors dominant; Tip cells enrichment (29.9%) distinguishes from untransduced CK+DCI; WT-YAP is lentiviral control, not untransduced	perturbation_positive_arm		single donor SPC2-ST-B2; paired promotion D-0014; WT-YAP is a lentiviral control, not an untransduced control; P-0001 supportive, not confirmed
GSE221344	nearest_external_validation	Kotton / BU	iPSC iAT2 (SPC2-ST-B2, YAP5SA constitutive nuclear YAP)	10x Chromium	GSM6858858_YAP5SA	GSE221344	perturbation	YAP5SA constitutively active nuclear YAP (CK+DCI 7d)	true	late_GW17_19	week_18	Epithelial	Proliferating progenitors	28.7	98.3	late_GW17_19	week_18	Proliferating progenitors	1.7	24.2	paired perturbation arm; Proliferating progenitors dominant with partial CFTR+ lineage enrichment (SOX2lowCFTR+ 5.6%, NKX2-1+SOX9+CFTR+ 7.3%); directionally consistent with P-0001 but success condition not met (partial shift, not identity conversion)	perturbation_positive_arm	higher ambiguity (24.2%) consistent with partial lineage conversion	single donor SPC2-ST-B2; paired promotion D-0014; YAP5SA shows partial shift not top-state SOX2lowCFTR+ conversion; P-0001 supportive, not confirmed
GSE221342	nearest_external_validation	Kotton / BU	iPSC iAT2 (BU3 NGAT, 3D CK+DCI)	10x Chromium	GSM6858850_iAT2_3D	GSE221342	differentiation	iAT2 3D CK+DCI (baseline)	true	mid_GW14_16	week_15	Epithelial	Budtip progenitors	4.8	95.2	late_GW17_19	week_18	Budtip progenitors	4.8	15.6	first external mid_GW14_16 row; iAT2 baseline; Budtip progenitors dominant; defines 3D->ALI axis starting point	boundary_stress_differentiation	WL stage plurality low (45.3%); epi stage coarse disagrees with WL stage coarse (late_GW17_19 vs mid_GW14_16)	single donor BU3 NGAT; same line as BU3 anchor; boundary-stress tranche; not a same-line P-0001 validation tranche
